898	118	1441	522	749	-26	366	771	24	1	4	0	0	0
898	92	1441	513	741	-28	359	758	24	1	4	0	0	0
899	86	1446	510	735	-30	358	750	24	1	4	0	0	0
890	86	1443	510	741	-34	360	752	24	1	4	0	0	0
891	78	1436	506	740	-38	358	752	24	1	4	0	0	0
904	87	1440	513	735	-22	358	758	24	1	4	0	0	0
911	117	1450	532	750	3	362	779	24	1	4	0	0	0
906	125	1450	529	761	-11	363	781	24	1	4	0	0	0
900	105	1447	517	743	-35	360	758	24	1	4	0	0	0
905	92	1452	525	732	-29	366	749	24	1	4	0	0	0
911	93	1460	533	747	-23	376	767	24	1	4	0	0	0
909	110	1464	527	760	-24	375	786	24	1	4	0	0	0
913	141	1466	530	764	4	371	795	24	1	4	0	0	0
924	149	1470	536	765	22	376	795	24	1	4	0	0	0
921	129	1472	534	756	-9	371	777	24	1	4	0	0	0
907	110	1460	530	747	-37	365	757	24	1	4	0	0	0
901	97	1444	526	744	-36	365	754	24	1	4	0	0	0
898	92	1450	520	743	-31	364	757	24	1	4	0	0	0
890	92	1462	512	742	-39	360	751	24	1	4	0	0	0
890	91	1463	508	736	-43	363	744	24	1	4	0	0	0
901	94	1465	508	735	-32	365	748	24	1	4	0	0	0
899	93	1469	508	735	-36	363	744	24	1	4	0	0	0
889	94	1469	509	737	-36	365	751	24	1	4	0	0	0
897	115	1466	512	745	-15	368	776	24	1	4	0	0	0
905	126	1462	514	754	-17	369	778	24	1	4	0	0	0
904	118	1465	512	748	-27	372	769	24	1	4	0	0	0
906	121	1468	512	745	-6	374	776	24	1	4	0	0	0
907	128	1464	515	750	1	372	782	24	1	4	0	0	0
904	120	1464	517	751	-27	367	777	24	1	4	0	0	0
904	122	1465	514	750	-39	358	781	24	1	4	0	0	0
905	125	1468	521	751	-23	358	777	24	1	4	0	0	0
906	102	1476	530	742	-21	369	755	24	1	4	0	0	0
906	92	1484	525	733	-35	376	744	24	1	4	0	0	0
903	105	1481	525	747	-28	377	765	24	1	4	0	0	0
900	105	1471	528	757	1	378	771	24	1	4	0	0	0
900	101	1465	514	744	7	376	751	24	1	4	0	0	0
901	112	1464	502	742	-4	375	756	24	1	4	0	0	0
899	117	1458	508	748	-2	373	768	24	1	4	0	0	0
904	116	1452	522	748	2	370	766	24	1	4	0	0	0
921	117	1467	533	751	3	377	771	24	1	4	0	0	0
917	101	1468	534	749	4	378	769	24	1	4	0	0	0
899	79	1445	528	740	-1	364	746	24	1	4	0	0	0
905	90	1446	531	739	-1	362	744	24	1	4	0	0	0
908	129	1451	531	739	-10	361	756	24	1	4	0	0	0
920	178	1443	524	741	5	361	773	24	1	4	0	0	0
959	203	1444	530	760	53	372	805	24	1	4	0	0	0
907	190	1445	553	765	55	373	797	24	1	4	0	0	0
844	174	1430	568	754	29	364	776	24	1	4	0	0	0
950	190	1428	565	755	49	373	795	24	1	4	0	0	0
